##.#...##. ..#.###..# ##...#.#.# ####.#.##. ........#. .#.#...#.# #..##...#. .#.#...### #...#.#... .##..##..# ###.####.# #.#..#.##.
..####.... .#..#..### #..##..... .......... .....##..# #..#....#. ........## ##..#...#. ....#....# #.......## #....###.# ###....#..
#....#.#.# #........# #......... .#...#..#. ...#..##.# #......#.. .......#.# #.......#. ......##.. ...#.....# #.#......# #...#..#.#
.#....#... ....#..... .......... ...#.....# #.....#... ..#..#...# #.#.#..##. .......... ..#.....#. ..#.....#. ..#....#.. .......###
#..#...... .....#...# #.......#. .##.#....# #..#...##. .#...##..# #.##.#.... .......#.# #.......#. ......#... ...#.....# #.....#..#
..#..#.... ....##.... .....#.... ....#.##.. .#...#..#. .#.#....## #.###..#.. .....#.... .....#.#.. ....#..#.. .#..#...## ##.....#..
......#..# #.#...###. ......#.#. ........## #....#...# #......##. .###...... ....###### ##....##.. ..#......# #.#.....## ##..##..##
#....#.### #.....##.. ..#.##.#.# #..#..#.## #......#.# #..#...... ..#.#..... ...#.....# #..###.... ......#..# #..#...... .#....##.#
.......#.# #.....#### #........# #.##.....# #....#.#.. ....#...#. .##......# #.......## ##.....##. .......##. .....#.#.. .###......
.#.###..#. .#.....##. ..#.####.# #.####...# ##..###.#. ...##.###. ...#.....# ###..###.# #..###...# ##.#..#... ...###.#.# #..#.#####

.#.###..#. .#.....##. ..#.####.# #.####...# ##..###.#. ...##.###. ...#.....# ###..###.# #..###...# ##.#..#... ...###.#.# #..#.#####
..#......# #......... .#........ ...###.#.# #..#....## #........# ##........ ...#...#.. .#..##.... .........# ##...#.#.# #........#
........#. ...##..#.# #...#.#... ..###..#.# #.......## #....#..## #.#.#....# #.#..##... ...#.###.. .......... ...#...... .#.#.#.#.#
.....#.... .........# #........# #..#...... .#.#...... .........# #.##.#.... ......##.# #.....#... .#.#.....# #....####. ..#.......
#.#.#.#... ...#.....# #.#......# #.#..###.. ......#..# #...##.#.# #..##..... ......#..# #..##.#... .......... .#..#..#.. .#.#.#...#
.........# #...#.##.. ...#.#.... ....#.##.. ...#...... ..##...### ###.#.#... ..##...... ..#..#.... ....#..#.# ##.......# ###.#.#...
#.#.#...#. ......#..# #.......#. ...#....## ##....#... .......#.# ###.#....# #.....#..# #.....##.# #........# #....###.. ..#....###
#..##....# #......... ..#....#.. .#.#.##..# #....##... .#........ ...#...#.# ##.#..##.# ##.#.#...# ##.#...#.# #........# ##........
....#..#.. ......#..# ##.....##. ....#..... .#.#.#.... .........# #..##....# ###...#..# #..#...#.. ....#..#.. ...##....# #..#.##..#
.###.###.# ###....#.# ##.#.##..# ####....## ###...#... ...#.#.... ....#.##.# #.#..##.#. ..#..##..# ##.#.#.... .##..#.#.. .#..#.#...

.###.###.# ###....#.# ##.#.##..# ####....## ###...#... ...#.#.... ....#.##.# #.#..##.#. ..#..##..# ##.#.#.... .##..#.#.. .#..#.#...
#.#..#..## #..###..## #......... .##....... ..#....... .#.#..#..# #..#..##.# #.......#. ..#....... ....##..#. ..#.#.#..# #.##..#...
......#.#. .###...#.. .##.##...# #..#...#.# #..#..#.## #......### ##.#.#.... .#.#...##. .......##. ..#..##... .##...#.#. .#...#..#.
